source,disease,level,location,age_group,horizon,model,spread,overprediction,underprediction,wis,c50,c95
agi,are,age,DE,00-04,-3,KIT-simple_nowcast,273.93717355576695,387.38648545663483,521.4956107471177,1182.8192697595196,0.3181818181818182,0.8636363636363636
agi,are,age,DE,00-04,-2,KIT-simple_nowcast,503.63366028152285,331.97558599409746,836.515403727908,1672.1246500035284,0.45454545454545453,0.8181818181818182
agi,are,age,DE,00-04,-1,KIT-simple_nowcast,1097.8898448708144,189.3909433010713,2074.8786417048773,3362.159429876763,0.2727272727272727,0.8636363636363636
agi,are,age,DE,00-04,0,KIT-simple_nowcast,1990.8744110526413,317.2962319327375,4852.176963067796,7160.347606053176,0.3181818181818182,0.7727272727272727
agi,are,age,DE,00-04,1,KIT-EnsembleComplete,9685.575785179526,831.7445689307353,2382.7785781756784,12900.09893228594,0.8636363636363636,1
agi,are,age,DE,00-04,1,KIT-EnsembleRealtime,10273.766233766233,775.0584415584416,6166.675324675325,17215.5,0.8181818181818182,0.9545454545454546
agi,are,age,DE,00-04,1,KIT-LightGBM,4566.5939375190965,1414.000615579718,2431.589062347678,8412.183615446493,0.5909090909090909,0.9545454545454546
agi,are,age,DE,00-04,1,KIT-TSMixer,14216.367184253248,1336.1025974025974,1509.325,17061.794781655844,0.9090909090909091,1
agi,are,age,DE,00-04,1,KIT-hhh4,10273.766233766233,775.0584415584416,6166.675324675325,17215.5,0.8181818181818182,0.9545454545454546
agi,are,age,DE,00-04,1,KIT-persistence,3581.721099154939,1345.3719346360965,8630.797702481168,13557.890736272204,0.36363636363636365,0.7727272727272727
agi,are,age,DE,00-04,1,baseline,10534.649675324676,816.7792207792207,3537.12987012987,14888.558766233768,0.7272727272727273,1
agi,are,age,DE,00-04,2,KIT-EnsembleComplete,10150.20756600132,3216.106448751253,4773.993001938015,18140.30701669059,0.7727272727272727,0.9545454545454546
agi,are,age,DE,00-04,2,KIT-EnsembleRealtime,11252.954545454546,4453.811688311688,11088.551948051949,26795.318181818184,0.7272727272727273,0.8636363636363636
agi,are,age,DE,00-04,2,KIT-LightGBM,5226.477021867593,2772.7526669033446,4578.697128261542,12577.92681703248,0.5,0.9090909090909091
agi,are,age,DE,00-04,2,KIT-TSMixer,13971.191130681818,3493.3137337662333,2818.427922077922,20282.932786525973,0.8181818181818182,0.9545454545454546
agi,are,age,DE,00-04,2,KIT-hhh4,11252.954545454546,4453.811688311688,11088.551948051949,26795.318181818184,0.7272727272727273,0.8636363636363636
agi,are,age,DE,00-04,2,KIT-persistence,5535.594072243822,6190.47282225811,14575.794396976326,26301.861291478257,0.36363636363636365,0.7272727272727273
agi,are,age,DE,00-04,2,baseline,10582.931818181818,1607.142857142857,3613.5519480519483,15803.626623376624,0.6818181818181818,1
agi,are,age,DE,00-04,3,KIT-EnsembleComplete,10511.381760726827,4012.2935898233977,6938.182364212896,21461.85771476312,0.6818181818181818,0.9090909090909091
agi,are,age,DE,00-04,3,KIT-EnsembleRealtime,12154.577922077922,6773.051948051948,14357.454545454546,33285.08441558442,0.5909090909090909,0.7727272727272727
agi,are,age,DE,00-04,3,KIT-LightGBM,5723.864205881778,3399.966219483231,5251.73499953918,14375.565424904189,0.3181818181818182,0.9090909090909091
agi,are,age,DE,00-04,3,KIT-TSMixer,13655.70315422078,3435.3642207792204,4892.417792207792,21983.485167207793,0.7272727272727273,1
agi,are,age,DE,00-04,3,KIT-hhh4,12154.577922077922,6773.051948051948,14357.454545454546,33285.08441558442,0.5909090909090909,0.7727272727272727
agi,are,age,DE,00-04,3,KIT-persistence,6086.687461547683,10135.742303294364,18118.371941586174,34340.801706428225,0.22727272727272727,0.6818181818181818
agi,are,age,DE,00-04,3,baseline,10375.15422077922,1872.844155844156,3547.961038961039,15795.959415584415,0.6363636363636364,1
agi,are,age,DE,00-04,4,KIT-EnsembleComplete,10679.293342224688,4700.669146638335,7067.269756348653,22447.23224521168,0.6818181818181818,0.9545454545454546
agi,are,age,DE,00-04,4,KIT-EnsembleRealtime,12982.012987012988,7304.766233766234,13757.532467532468,34044.31168831169,0.5909090909090909,0.7727272727272727
agi,are,age,DE,00-04,4,KIT-LightGBM,5814.573458492247,4741.668404857886,5210.935029917315,15767.176893267448,0.36363636363636365,0.9545454545454546
agi,are,age,DE,00-04,4,KIT-TSMixer,13241.293581168831,4030.4938311688306,5539.966006493505,22811.75341883117,0.7272727272727273,0.9090909090909091
agi,are,age,DE,00-04,4,KIT-hhh4,12982.012987012988,7304.766233766234,13757.532467532468,34044.31168831169,0.5909090909090909,0.7727272727272727
agi,are,age,DE,00-04,4,KIT-persistence,5723.439768695533,14420.450475788879,18221.950630227344,38365.84087471176,0.13636363636363635,0.6363636363636364
agi,are,age,DE,00-04,4,baseline,10183.11525974026,1725.9155844155844,2791.922077922078,14700.952922077922,0.7272727272727273,1
agi,are,age,DE,05-14,-3,KIT-simple_nowcast,213.01125725356061,427.31195845850493,274.7652221533884,915.0884378654539,0.22727272727272727,0.8636363636363636
agi,are,age,DE,05-14,-2,KIT-simple_nowcast,516.1445273631083,762.6579890863923,708.0390631481607,1986.8415795976612,0.3181818181818182,0.7727272727272727
agi,are,age,DE,05-14,-1,KIT-simple_nowcast,1038.2246146030197,760.5744209563647,1425.0821659626931,3223.8812015220774,0.36363636363636365,0.9090909090909091
agi,are,age,DE,05-14,0,KIT-simple_nowcast,1582.4980117523232,505.6093039986691,4031.593753930224,6119.701069681216,0.2727272727272727,0.7727272727272727
agi,are,age,DE,05-14,1,KIT-EnsembleComplete,10565.377595996877,428.33829987018623,9177.056574387183,20170.772470254247,0.6818181818181818,0.9545454545454546
agi,are,age,DE,05-14,1,KIT-EnsembleRealtime,12473.116883116883,2090.87012987013,8649.110389610389,23213.097402597403,0.7727272727272727,0.9545454545454546
agi,are,age,DE,05-14,1,KIT-LightGBM,6532.5000282503715,891.0866280361814,11906.996189826043,19330.582846112597,0.4090909090909091,0.8636363636363636
